Model,Class,Approach,Window,Threshold,Run,repairFitness,testAccuracy,numSwitchIntermediateSearches
EnetB7,0,Arachne,NA,NA,1,1.145460244662050,0.8395739793777470,NA
EnetB7,0,Arachne,NA,NA,2,1.112114256547670,0.8306551575660710,NA
EnetB7,0,Arachne,NA,NA,3,1.1388482880976400,0.8570541739463810,NA
EnetB7,0,Arachne,NA,NA,4,1.0993108655508300,0.841850757598877,NA
EnetB7,0,Arachne,NA,NA,5,1.1179027599977200,0.8417943120002750,NA
EnetB7,0,Arachne,NA,NA,6,1.1358011721318300,0.840082049369812,NA
EnetB7,0,Arachne,NA,NA,7,1.1330201828627200,0.8413239121437070,NA
EnetB7,0,Arachne,NA,NA,8,1.131321313739330,0.8396116495132450,NA
EnetB7,0,Arachne,NA,NA,9,1.163287588044680,0.8332141637802120,NA
EnetB7,0,Arachne,NA,NA,10,1.110813529894990,0.838482677936554,NA
EnetB7,0,Arachne,NA,NA,11,1.1288554024016500,0.8556994199752810,NA
EnetB7,0,Arachne,NA,NA,12,1.109401672443150,0.8571293950080870,NA
EnetB7,0,Arachne,NA,NA,13,1.1653143101563500,0.8533473610877990,NA
EnetB7,0,Arachne,NA,NA,14,1.1677925900166500,0.8396116495132450,NA
EnetB7,0,Arachne,NA,NA,15,1.1297967042192200,0.8521054983139040,NA
EnetB7,0,Arachne,NA,NA,16,1.1305120016151300,0.8580325841903690,NA
EnetB7,0,Arachne,NA,NA,17,1.1551373114764500,0.8422082662582400,NA
EnetB7,0,Arachne,NA,NA,18,1.14840504751914,0.8391788601875310,NA
EnetB7,0,Arachne,NA,NA,19,1.1588428395150700,0.8342490792274480,NA
EnetB7,0,Arachne,NA,NA,20,1.1099056872793100,0.8548715114593510,NA
EnetB7,0,Arachne,NA,NA,21,1.1123732893569700,0.8380498886108400,NA
EnetB7,0,Arachne,NA,NA,22,1.1465262563445700,0.8357731699943540,NA
EnetB7,0,Arachne,NA,NA,23,1.1316747120591200,0.8410604596138,NA
EnetB7,0,Arachne,NA,NA,24,1.1278148496841800,0.8389906883239750,NA
EnetB7,0,Arachne,NA,NA,25,1.1604000867076100,0.8487938642501830,NA
EnetB7,0,Arachne,NA,NA,26,1.1264358346288900,0.8376359343528750,NA
EnetB7,0,Arachne,NA,NA,27,1.1157660697164000,0.8504309058189390,NA
EnetB7,0,Arachne,NA,NA,28,1.1608644898346800,0.8428103923797610,NA
EnetB7,0,Arachne,NA,NA,29,1.1574335472733500,0.8341549634933470,NA
EnetB7,0,Arachne,NA,NA,30,1.1343340664292700,0.8520114421844480,NA
EnetB7,0,FL-based,10,0.5,1,1.4051905958198400,0.8722387552261350,4
EnetB7,0,FL-based,10,0.5,2,1.3112412191644200,0.8631882071495060,3
EnetB7,0,FL-based,10,0.5,3,1.415339824396620,0.8531215786933900,4
EnetB7,0,FL-based,10,0.5,4,1.4421064670493200,0.8707898855209350,8
EnetB7,0,FL-based,10,0.5,5,1.427040044781650,0.8447484374046330,3
EnetB7,0,FL-based,10,0.5,6,1.4427571366736000,0.8281149864196780,8
EnetB7,0,FL-based,10,0.5,7,1.437352414490420,0.8683061599731450,3
EnetB7,0,FL-based,10,0.5,8,1.465292897569990,0.821021318435669,3
EnetB7,0,FL-based,10,0.5,9,1.46074568050628,0.8731983304023740,4
EnetB7,0,FL-based,10,0.5,10,1.447835378516480,0.7688066959381100,4
EnetB7,0,FL-based,10,0.5,11,1.4714428062896000,0.7917435169219970,5
EnetB7,0,FL-based,10,0.5,12,1.4243459748505500,0.8708087205886840,3
EnetB7,0,FL-based,10,0.5,13,1.5146027551059800,0.8701125383377080,5
EnetB7,0,FL-based,10,0.5,14,1.4731684269829300,0.8080946803092960,3
EnetB7,0,FL-based,10,0.5,15,1.4774734246537200,0.8230723142623900,5
EnetB7,0,FL-based,10,0.5,16,1.3371500008193600,0.8712226748466490,3
